,id,location,gender,department,study level,total_duration,most_used_group
3027,5121,2,1.0,8.0,0.0,29246.0,Other
3028,5127,2,1.0,8.0,1.0,580604.0,3D-Printer
3029,5128,2,1.0,12.0,0.0,45.0,Toolbox
3030,5129,2,1.0,12.0,0.0,459.0,Toolbox
3031,5130,2,1.0,8.0,1.0,3216.0,Dirt & Dust
3032,5132,2,0.0,12.0,0.0,308141.0,3D-Printer
3033,5133,2,1.0,12.0,0.0,727685.0,3D-Printer
3035,5140,1,1.0,14.0,1.0,242051.0,3D-Printer
3036,5141,1,1.0,4.0,1.0,2477596.0,3D-Printer
3037,5142,1,1.0,2.0,0.0,4713173.0,3D-Printer
3038,5146,1,1.0,9.0,0.0,240416.0,3D-Printer
3039,5149,2,1.0,1.0,0.0,173633.0,3D-Printer
3040,5151,2,1.0,12.0,0.0,70851.0,Toolbox
3041,5152,2,1.0,10.0,1.0,382184.0,Dirt & Dust
3042,5155,2,1.0,8.0,1.0,526.0,Toolbox
3043,5157,2,1.0,9.0,0.0,35470.0,3D-Printer
3044,5158,2,1.0,12.0,1.0,134.0,Toolbox
3045,5160,2,1.0,12.0,1.0,71.0,Toolbox
3046,5161,2,1.0,8.0,1.0,13466.0,Other
3047,5162,2,1.0,8.0,1.0,9827.0,Other
3048,5164,2,1.0,12.0,3.0,526696.0,3D-Printer
3049,5168,2,1.0,8.0,0.0,1352718.0,Other
3050,5169,2,1.0,4.0,0.0,127399.0,Other
3051,5170,2,1.0,12.0,0.0,1194.0,Toolbox
3052,5173,1,1.0,8.0,1.0,1016699.0,3D-Printer
3053,5174,1,1.0,12.0,1.0,1388.0,Lasercutter
3054,5175,1,1.0,2.0,0.0,555974.0,Lasercutter
3055,5177,2,1.0,8.0,0.0,5330.0,Other
3056,5178,1,0.0,4.0,0.0,7892.0,Toolbox
3057,5179,1,1.0,1.0,2.0,5334.0,3D-Printer
3058,5180,1,0.0,0.0,1.0,468857.0,3D-Printer
3059,5181,2,1.0,12.0,0.0,45093.0,Toolbox
3060,5182,2,1.0,12.0,0.0,12385.0,Toolbox
3061,5186,2,1.0,9.0,0.0,73033.0,3D-Printer
3062,5187,2,1.0,8.0,1.0,607422.0,3D-Printer
3063,5188,2,1.0,6.0,1.0,6833.0,Toolbox
3064,5189,2,1.0,8.0,0.0,23711.0,Toolbox
3065,5191,2,1.0,12.0,0.0,66136.0,Other
3066,5193,2,1.0,8.0,0.0,253161.0,3D-Printer
3067,5195,2,1.0,12.0,0.0,1826.0,Lasercutter
3068,5196,2,1.0,8.0,1.0,109653.0,3D-Printer
3069,5197,1,1.0,0.0,1.0,768.0,Toolbox
3070,5198,2,1.0,8.0,1.0,561629.0,3D-Printer
3071,5200,2,1.0,10.0,1.0,989967.0,3D-Printer
3072,5202,1,0.0,10.0,0.0,610877.0,3D-Printer
3073,5203,2,1.0,12.0,0.0,174240.0,Toolbox
3074,5204,2,0.0,15.0,2.0,30012.0,Lasercutter
3075,5205,2,0.0,12.0,0.0,28223.0,3D-Printer
3076,5207,2,0.0,12.0,0.0,1048138.0,3D-Printer
3077,5209,2,1.0,12.0,0.0,607410.0,3D-Printer
3078,5211,2,1.0,12.0,0.0,4628.0,Toolbox
3079,5213,2,1.0,12.0,0.0,693580.0,3D-Printer
3080,5214,2,1.0,10.0,0.0,965147.0,3D-Printer
3081,5217,2,1.0,12.0,0.0,23105.0,Lasercutter
3082,5218,2,1.0,0.0,2.0,704381.0,Toolbox
3083,5219,2,1.0,9.0,2.0,7172.0,Lasercutter
3084,5222,2,1.0,12.0,3.0,8376.0,3D-Printer
3085,5224,2,1.0,8.0,1.0,1368740.0,3D-Printer
3086,5225,2,1.0,8.0,3.0,317351.0,Toolbox
3087,5226,2,0.0,15.0,1.0,11678.0,Lasercutter
3088,5227,2,1.0,12.0,0.0,247823.0,3D-Printer
3089,5230,1,1.0,10.0,0.0,408389.0,3D-Printer
3090,5231,2,1.0,14.0,0.0,42889.0,Toolbox
3091,5232,2,1.0,8.0,0.0,311696.0,3D-Printer
3092,5234,2,1.0,12.0,1.0,725840.0,3D-Printer
3093,5235,2,1.0,12.0,0.0,148295.0,3D-Printer
3094,5236,2,1.0,12.0,0.0,95565.0,Toolbox
3095,5238,2,1.0,12.0,0.0,5178.0,Toolbox
3096,5240,1,1.0,1.0,1.0,91281.0,3D-Printer
3097,5241,2,0.0,12.0,1.0,1077160.0,Dirt & Dust
3098,5242,1,1.0,1.0,1.0,602964.0,3D-Printer
3099,5243,2,0.0,8.0,2.0,162431.0,Other
3100,5244,2,1.0,8.0,0.0,87361.0,DLP Printer
3101,5245,2,1.0,10.0,2.0,96704.0,3D-Printer
3102,5246,2,1.0,9.0,0.0,5300.0,Toolbox
3103,5247,2,1.0,9.0,0.0,442.0,Toolbox
3104,5249,2,1.0,12.0,0.0,323808.0,3D-Printer
3105,5250,2,1.0,12.0,1.0,426989.0,Toolbox
3106,5251,2,1.0,12.0,1.0,3147.0,Toolbox
3107,5252,2,1.0,17.0,0.0,40957.0,Toolbox
3108,5253,1,1.0,1.0,0.0,20452.0,Lasercutter
3109,5254,1,1.0,14.0,0.0,259612.0,Toolbox
